usuario_id,nome_programa,categoria,tempo_assistido,dispositivo,data,tempo
906,Create.,Shows,86.0,Smartfones,2024-12-03,0 days 04:35:18
280,Really.,Shows,61.0,Smartfones,2024-12-02,0 days 00:52:20
196,If suddenly.,Shows,57.0,Celulares,2024-12-04,0 days 09:51:18
990,Tonight.,Séries,158.0,Celulares,2024-12-07,0 days 15:42:53
818,Rich next.,Shows,117.0,Smartfones,2024-12-06,0 days 23:06:14
283,Today.,Filmes,118.0,Celulares,2024-12-02,0 days 00:09:42
718,Environmental.,Shows,26.0,Celulares,2024-12-04,0 days 22:01:47
195,Argue.,Documentários,145.0,Smartfones,2024-12-02,0 days 17:56:47
461,Bill likely.,Documentários,43.0,Celulares,2024-12-05,0 days 01:39:55
108,Drug task.,Novelas,16.0,Tablet,2024-12-06,0 days 17:13:53
21,Page however.,Séries,136.0,Smartfones,2024-12-07,0 days 13:10:10
704,Culture when.,Séries,18.0,Celulares,2024-12-05,0 days 10:54:19
225,Sense cup.,Séries,97.0,Smartfones,2024-12-02,0 days 23:55:06
742,Red.,Filmes,34.0,Smartfones,2024-12-06,0 days 08:25:38
600,Possible.,Documentários,6.0,Smart TV,2024-12-04,0 days 05:47:30
421,Hair local.,Séries,82.0,Smart TV,2024-12-01,0 days 09:49:36
377,Play pass.,Séries,93.0,Smart TV,2024-12-02,0 days 13:11:45
85,Quality.,Séries,157.0,Tablet,2024-12-03,0 days 11:56:52
376,Father.,Novelas,166.0,Smart TV,2024-12-06,0 days 10:12:01
563,Century image.,Séries,141.0,Celulares,2024-12-02,0 days 07:58:37
573,Democratic according.,Filmes,62.0,Smartfones,2024-12-04,0 days 08:40:29
305,Nation want.,Shows,73.0,Smartfones,2024-12-07,0 days 02:41:51
164,Week her.,Filmes,59.0,Smartfones,2024-12-06,0 days 03:40:58
436,Cover maintain.,Documentários,7.0,Smart TV,2024-12-05,0 days 10:30:24
66,We.,Novelas,82.0,Celulares,2024-12-05,0 days 05:21:25
392,Threat.,Shows,81.0,Smartfones,2024-12-06,0 days 20:08:44
796,Blue.,Filmes,40.0,Celulares,2024-12-06,0 days 11:53:47
94,Case.,Filmes,77.0,Smart TV,2024-12-02,0 days 00:09:34
896,Do.,Filmes,27.0,Smart TV,2024-12-07,0 days 18:15:41
997,Local garden.,Shows,130.0,Tablet,2024-12-05,0 days 06:37:49
51,Of might.,Séries,156.0,Tablet,2024-12-07,0 days 18:20:45
635,Bring indicate.,Novelas,135.0,Smartfones,2024-12-08,0 days 22:00:02
400,However move.,Novelas,50.0,Celulares,2024-12-05,0 days 08:13:36
873,Physical.,Novelas,163.0,Celulares,2024-12-06,0 days 02:23:31
123,Boy.,Filmes,123.0,Smart TV,2024-12-06,0 days 01:15:49
276,Begin door.,Novelas,100.0,Celulares,2024-12-05,0 days 11:37:00
395,Produce big.,Shows,25.0,Smartfones,2024-12-01,0 days 16:31:55
119,So.,Séries,102.0,Smart TV,2024-12-07,0 days 17:05:04
11,Themselves.,Documentários,158.0,Celulares,2024-12-06,0 days 15:50:40
723,Serious success.,Shows,151.0,Smartfones,2024-12-07,0 days 18:04:35
222,Put.,Séries,131.0,Tablet,2024-12-02,0 days 03:41:11
615,Leg upon.,Documentários,46.0,Smart TV,2024-12-04,0 days 12:37:17
576,Production.,Séries,115.0,Smartfones,2024-12-02,0 days 08:30:43
917,All matter.,Novelas,144.0,Smartfones,2024-12-03,0 days 17:10:18
108,And event.,Shows,122.0,Smart TV,2024-12-07,0 days 01:34:20
707,Interest.,Shows,142.0,Celulares,2024-12-07,0 days 06:18:06
675,Better hundred.,Documentários,108.0,Smartfones,2024-12-07,0 days 20:23:08
939,Statement.,Séries,145.0,Smart TV,2024-12-08,0 days 12:20:45
111,Amount.,Séries,45.0,Tablet,2024-12-05,0 days 07:49:32
69,Candidate in.,Novelas,93.0,Smart TV,2024-12-05,0 days 01:07:04
188,Pressure weight.,Documentários,101.0,Smartfones,2024-12-08,0 days 17:39:50
394,Early forward.,Shows,106.0,Tablet,2024-12-04,0 days 18:40:50
45,Fight.,Séries,46.0,Smart TV,2024-12-08,0 days 00:35:01
840,Receive.,Filmes,91.0,Smartfones,2024-12-02,0 days 02:21:04
77,Including laugh.,Filmes,24.0,Tablet,2024-12-03,0 days 01:36:40
243,Fact responsibility.,Filmes,47.0,Smartfones,2024-12-04,0 days 07:07:25
353,Sister.,Filmes,20.0,Celulares,2024-12-02,0 days 12:36:22
918,Story.,Documentários,11.0,Celulares,2024-12-01,0 days 03:14:56
943,New.,Séries,137.0,Smart TV,2024-12-08,0 days 17:47:47
832,Thousand.,Filmes,126.0,Smart TV,2024-12-06,0 days 12:06:14
210,Increase.,Documentários,169.0,Celulares,2024-12-01,0 days 03:36:57
634,Model.,Documentários,29.0,Smartfones,2024-12-07,0 days 06:04:35
754,Name.,Séries,159.0,Smart TV,2024-12-05,0 days 04:57:17
666,Seek whom.,Filmes,44.0,Smart TV,2024-12-02,0 days 21:07:37
246,Spend tax.,Documentários,163.0,Smartfones,2024-12-03,0 days 16:54:54
930,Themselves country.,Novelas,136.0,Tablet,2024-12-03,0 days 03:47:07
431,Set.,Documentários,83.0,Tablet,2024-12-02,0 days 18:25:28
223,Determine.,Shows,98.0,Smartfones,2024-12-05,0 days 19:28:21
806,Machine.,Shows,47.0,Smart TV,2024-12-05,0 days 09:54:41
147,Scene.,Filmes,21.0,Smartfones,2024-12-07,0 days 09:27:37
278,Relationship but.,Filmes,69.0,Smart TV,2024-12-08,0 days 00:05:29
18,Option.,Shows,39.0,Tablet,2024-12-04,0 days 17:33:17
563,Relationship into.,Séries,154.0,Smart TV,2024-12-05,0 days 01:57:40
111,Marriage.,Documentários,118.0,Tablet,2024-12-01,0 days 21:35:42
127,Pay.,Séries,159.0,Tablet,2024-12-01,0 days 18:45:41
92,Religious.,Shows,38.0,Smartfones,2024-12-02,0 days 21:18:47
259,Card.,Shows,72.0,Smart TV,2024-12-02,0 days 10:22:46
580,Response laugh.,Documentários,178.0,Celulares,2024-12-08,0 days 10:49:02
301,Clear billion.,Documentários,166.0,Celulares,2024-12-04,0 days 03:05:41
169,Forget.,Shows,90.0,Celulares,2024-12-01,0 days 16:25:25
831,Be there.,Séries,133.0,Celulares,2024-12-02,0 days 01:58:39
491,Task trouble.,Documentários,160.0,Celulares,2024-12-08,0 days 21:05:29
630,Weight pressure.,Novelas,37.0,Celulares,2024-12-02,0 days 14:30:24
304,Institution.,Novelas,55.0,Smart TV,2024-12-03,0 days 10:38:35
106,Eye option.,Novelas,163.0,Celulares,2024-12-03,0 days 07:01:41
557,Reveal car.,Shows,54.0,Smart TV,2024-12-06,0 days 07:24:01
513,Traditional.,Séries,33.0,Smart TV,2024-12-02,0 days 01:36:04
448,Strategy.,Filmes,46.0,Celulares,2024-12-08,0 days 03:46:23
897,In.,Séries,31.0,Celulares,2024-12-05,0 days 03:05:59
812,Tree.,Filmes,102.0,Smart TV,2024-12-02,0 days 13:17:58
377,Defense keep.,Filmes,55.0,Smartfones,2024-12-04,0 days 16:01:25
589,Option.,Shows,33.0,Smartfones,2024-12-01,0 days 09:16:29
456,Road rather.,Shows,95.0,Tablet,2024-12-07,0 days 19:57:18
585,Under.,Séries,33.0,Smartfones,2024-12-05,0 days 17:32:40
440,Common true.,Documentários,47.0,Tablet,2024-12-05,0 days 16:10:01
369,Move also.,Filmes,9.0,Smartfones,2024-12-08,0 days 04:18:39
673,Strategy.,Documentários,119.0,Smartfones,2024-12-02,0 days 05:29:57
935,Gun.,Séries,25.0,Celulares,2024-12-04,0 days 04:37:29
235,Rest interest.,Filmes,127.0,Smartfones,2024-12-06,0 days 10:53:02
543,With.,Filmes,30.0,Celulares,2024-12-06,0 days 05:55:46
671,Meeting.,Novelas,50.0,Smart TV,2024-12-07,0 days 22:35:27
2,Best true.,Filmes,135.0,Celulares,2024-12-07,0 days 06:07:21
84,Force.,Filmes,127.0,Smart TV,2024-12-03,0 days 05:17:34
582,Tv produce.,Documentários,23.0,Tablet,2024-12-08,0 days 10:14:39
231,Offer.,Séries,162.0,Celulares,2024-12-06,0 days 01:44:18
421,Design.,Filmes,20.0,Tablet,2024-12-05,0 days 14:39:12
583,Form within.,Filmes,167.0,Tablet,2024-12-03,0 days 08:35:18
85,Always.,Documentários,153.0,Smart TV,2024-12-06,0 days 21:11:15
655,Culture top.,Filmes,74.0,Tablet,2024-12-03,0 days 19:19:58
297,Prepare.,Séries,18.0,Smart TV,2024-12-01,0 days 23:19:41
972,Health.,Novelas,160.0,Smartfones,2024-12-06,0 days 01:40:22
367,Laugh.,Shows,53.0,Smartfones,2024-12-07,0 days 20:16:06
370,Year.,Shows,109.0,Tablet,2024-12-06,0 days 01:07:13
413,And political.,Shows,157.0,Smartfones,2024-12-08,0 days 10:54:45
691,Answer.,Documentários,33.0,Celulares,2024-12-07,0 days 22:52:07
705,Point radio.,Shows,127.0,Tablet,2024-12-01,0 days 15:54:31
994,Court star.,Documentários,137.0,Tablet,2024-12-07,0 days 01:34:53
613,Activity.,Documentários,162.0,Smartfones,2024-12-07,0 days 04:56:01
352,At director.,Documentários,15.0,Tablet,2024-12-07,0 days 12:38:15
606,Design.,Shows,121.0,Smart TV,2024-12-03,0 days 10:09:33
280,Somebody accept.,Documentários,116.0,Smartfones,2024-12-03,0 days 23:57:15
677,Area.,Filmes,112.0,Celulares,2024-12-03,0 days 10:22:24
572,Morning.,Documentários,19.0,Smartfones,2024-12-01,0 days 17:57:40
825,Individual.,Documentários,54.0,Smartfones,2024-12-05,0 days 22:59:42
310,Smile.,Filmes,160.0,Celulares,2024-12-01,0 days 23:45:24
923,Common successful.,Filmes,54.0,Smartfones,2024-12-07,0 days 13:21:37
230,Father.,Séries,49.0,Tablet,2024-12-05,0 days 20:37:48
615,Appear meet.,Filmes,31.0,Celulares,2024-12-05,0 days 12:56:38
860,Wide.,Filmes,6.0,Tablet,2024-12-01,0 days 01:33:23
644,Baby wide.,Séries,117.0,Smartfones,2024-12-07,0 days 04:15:05
721,Require safe.,Filmes,161.0,Tablet,2024-12-04,0 days 11:23:02
965,Instead.,Filmes,39.0,Smart TV,2024-12-03,0 days 09:09:08
624,There.,Documentários,135.0,Tablet,2024-12-04,0 days 01:17:34
77,Glass.,Shows,146.0,Tablet,2024-12-04,0 days 08:25:06
439,These attorney.,Documentários,107.0,Celulares,2024-12-03,0 days 22:42:22
958,Especially third.,Filmes,145.0,Celulares,2024-12-04,0 days 05:47:03
641,Late.,Documentários,176.0,Celulares,2024-12-01,0 days 18:46:12
313,Fill.,Novelas,155.0,Celulares,2024-12-05,0 days 23:58:15
630,Cultural.,Filmes,40.0,Tablet,2024-12-08,0 days 20:00:27
246,Hard doctor.,Documentários,69.0,Smart TV,2024-12-04,0 days 14:03:59
892,Food.,Séries,169.0,Tablet,2024-12-06,0 days 01:10:28
694,Order exist.,Shows,73.0,Smartfones,2024-12-05,0 days 20:58:52
216,Church.,Filmes,59.0,Celulares,2024-12-06,0 days 17:51:19
873,Member major.,Séries,58.0,Smartfones,2024-12-06,0 days 23:56:39
189,Individual.,Novelas,116.0,Tablet,2024-12-08,0 days 05:27:37
638,Structure finish.,Shows,32.0,Celulares,2024-12-03,0 days 12:18:25
910,Arm loss.,Novelas,106.0,Celulares,2024-12-07,0 days 11:23:43
118,According.,Novelas,31.0,Smart TV,2024-12-02,0 days 19:06:53
287,Sing.,Novelas,77.0,Celulares,2024-12-07,0 days 10:28:00
213,The.,Filmes,13.0,Celulares,2024-12-07,0 days 03:58:24
221,Church.,Séries,148.0,Tablet,2024-12-05,0 days 03:16:59
732,Without hard.,Shows,112.0,Smartfones,2024-12-02,0 days 12:28:08
1000,Election thought.,Documentários,27.0,Celulares,2024-12-04,0 days 17:32:42
966,Tonight.,Documentários,77.0,Tablet,2024-12-02,0 days 20:24:20
278,Simply follow.,Shows,10.0,Tablet,2024-12-06,0 days 01:20:12
668,Plant.,Séries,145.0,Celulares,2024-12-06,0 days 00:34:31
340,Certain though.,Documentários,179.0,Celulares,2024-12-01,0 days 18:12:55
41,Lawyer face.,Shows,68.0,Smart TV,2024-12-07,0 days 05:54:34
626,Board.,Filmes,122.0,Celulares,2024-12-04,0 days 05:16:51
372,Pass.,Novelas,89.0,Smart TV,2024-12-01,0 days 22:21:00
72,Board.,Séries,56.0,Celulares,2024-12-02,0 days 06:55:05
221,Cell budget.,Séries,82.0,Celulares,2024-12-08,0 days 07:28:10
237,Suggest.,Séries,47.0,Smart TV,2024-12-08,0 days 15:19:44
996,Magazine stock.,Novelas,108.0,Smartfones,2024-12-05,0 days 13:36:16
888,Future.,Documentários,96.0,Smartfones,2024-12-03,0 days 10:53:11
606,Fund.,Shows,70.0,Smart TV,2024-12-04,0 days 00:56:46
245,Family teacher.,Filmes,87.0,Smartfones,2024-12-06,0 days 03:03:31
144,Notice.,Séries,143.0,Tablet,2024-12-07,0 days 16:30:06
128,Stuff.,Novelas,96.0,Smartfones,2024-12-02,0 days 19:15:33
652,Try.,Séries,104.0,Tablet,2024-12-03,0 days 15:19:44
503,Continue cause.,Séries,7.0,Smartfones,2024-12-06,0 days 03:59:26
646,Cup.,Shows,70.0,Tablet,2024-12-06,0 days 10:56:04
314,Rock.,Séries,14.0,Tablet,2024-12-06,0 days 07:50:25
349,Think on.,Shows,61.0,Tablet,2024-12-07,0 days 12:03:08
389,Process.,Filmes,130.0,Tablet,2024-12-07,0 days 23:55:54
986,Build.,Novelas,67.0,Tablet,2024-12-06,0 days 02:55:38
109,Fall develop.,Séries,67.0,Smartfones,2024-12-05,0 days 03:10:40
191,Property charge.,Filmes,157.0,Celulares,2024-12-08,0 days 22:07:16
752,Thousand.,Shows,19.0,Tablet,2024-12-08,0 days 00:28:54
338,Season.,Novelas,35.0,Smartfones,2024-12-03,0 days 11:26:04
695,Player view.,Filmes,154.0,Smartfones,2024-12-07,0 days 09:30:20
41,True.,Novelas,47.0,Smartfones,2024-12-02,0 days 22:48:41
848,His shoulder.,Filmes,143.0,Tablet,2024-12-06,0 days 19:00:09
25,News include.,Séries,138.0,Tablet,2024-12-03,0 days 12:01:13
682,Too.,Séries,180.0,Smartfones,2024-12-03,0 days 05:41:06
816,Without.,Séries,145.0,Celulares,2024-12-05,0 days 11:08:58
154,Story into.,Shows,55.0,Tablet,2024-12-05,0 days 19:48:21
543,How try.,Documentários,113.0,Tablet,2024-12-01,0 days 11:05:58
551,Current idea.,Documentários,179.0,Tablet,2024-12-01,0 days 17:47:17
599,Day local.,Novelas,180.0,Celulares,2024-12-07,0 days 11:02:13
594,Finally them.,Novelas,172.0,Celulares,2024-12-08,0 days 14:25:01
146,Exist edge.,Filmes,165.0,Tablet,2024-12-02,0 days 14:04:58
833,Modern.,Documentários,48.0,Smartfones,2024-12-04,0 days 01:34:39
522,Significant thing.,Documentários,128.0,Smart TV,2024-12-03,0 days 12:28:07
149,Food politics.,Filmes,116.0,Smartfones,2024-12-02,0 days 22:18:33
903,Lawyer degree.,Documentários,79.0,Celulares,2024-12-01,0 days 11:11:31
810,View and.,Filmes,147.0,Tablet,2024-12-05,0 days 23:14:17
88,Fine try.,Séries,35.0,Celulares,2024-12-08,0 days 00:37:31
418,Usually.,Séries,17.0,Smart TV,2024-12-01,0 days 21:47:33
232,Situation small.,Novelas,142.0,Smartfones,2024-12-02,0 days 12:43:54
909,Couple manager.,Séries,153.0,Smart TV,2024-12-05,0 days 15:18:45
265,Spend return.,Novelas,111.0,Celulares,2024-12-04,0 days 21:15:16
551,East.,Filmes,96.0,Smartfones,2024-12-07,0 days 14:32:32
669,Charge.,Shows,60.0,Smartfones,2024-12-04,0 days 01:58:39
790,School several.,Séries,27.0,Smart TV,2024-12-01,0 days 21:51:27
606,Pressure long.,Novelas,175.0,Smartfones,2024-12-06,0 days 13:33:32
51,Our.,Documentários,65.0,Smart TV,2024-12-02,0 days 13:10:53
240,Late seven.,Séries,166.0,Smart TV,2024-12-07,0 days 05:25:54
188,Water conference.,Novelas,116.0,Smartfones,2024-12-07,0 days 06:58:47
300,Factor.,Novelas,35.0,Smartfones,2024-12-03,0 days 13:06:41
467,Hair red.,Filmes,35.0,Smart TV,2024-12-07,0 days 11:42:06
816,Development unit.,Documentários,103.0,Smartfones,2024-12-04,0 days 00:40:19
809,Spend.,Novelas,167.0,Celulares,2024-12-04,0 days 08:14:07
24,Picture practice.,Séries,158.0,Celulares,2024-12-07,0 days 18:41:08
739,Our choice.,Novelas,142.0,Tablet,2024-12-05,0 days 15:28:34
871,Or several.,Shows,109.0,Celulares,2024-12-07,0 days 21:08:22
754,Media.,Shows,151.0,Celulares,2024-12-02,0 days 04:22:51
956,Debate.,Filmes,150.0,Smartfones,2024-12-05,0 days 05:16:21
135,List.,Documentários,63.0,Smart TV,2024-12-03,0 days 18:41:30
422,Read.,Séries,32.0,Smartfones,2024-12-08,0 days 21:01:48
47,Look.,Novelas,83.0,Smart TV,2024-12-01,0 days 20:28:12
869,Inside.,Filmes,157.0,Smart TV,2024-12-06,0 days 06:37:14
387,About use.,Shows,60.0,Smartfones,2024-12-04,0 days 12:23:37
760,Movement during.,Séries,101.0,Tablet,2024-12-01,0 days 10:09:18
571,Piece admit.,Séries,63.0,Celulares,2024-12-05,0 days 05:39:33
43,Finally ago.,Novelas,76.0,Smartfones,2024-12-08,0 days 21:45:39
745,Save movie.,Filmes,130.0,Smartfones,2024-12-04,0 days 07:09:18
988,Probably push.,Séries,5.0,Celulares,2024-12-03,0 days 07:57:55
228,Mother beautiful.,Novelas,174.0,Smartfones,2024-12-02,0 days 14:11:28
56,Affect.,Documentários,151.0,Celulares,2024-12-04,0 days 08:30:08
252,Star important.,Documentários,52.0,Smartfones,2024-12-03,0 days 01:37:44
779,According.,Shows,53.0,Smart TV,2024-12-02,0 days 11:12:25
832,Best.,Shows,97.0,Smartfones,2024-12-04,0 days 19:52:18
792,Other between.,Séries,120.0,Smartfones,2024-12-01,0 days 07:12:40
393,Pressure.,Novelas,108.0,Smartfones,2024-12-01,0 days 01:02:10
375,Prepare.,Shows,82.0,Smartfones,2024-12-04,0 days 01:04:04
520,Let grow.,Shows,5.0,Celulares,2024-12-02,0 days 03:39:13
521,Attack mind.,Documentários,85.0,Smart TV,2024-12-03,0 days 21:58:20
334,Edge.,Filmes,89.0,Smart TV,2024-12-01,0 days 02:06:51
854,Serious.,Séries,63.0,Smartfones,2024-12-05,0 days 20:50:46
565,Very.,Documentários,58.0,Celulares,2024-12-05,0 days 16:05:34
785,Accept section.,Novelas,30.0,Smartfones,2024-12-02,0 days 19:58:18
733,Position decision.,Shows,99.0,Smartfones,2024-12-05,0 days 22:45:12
182,Stand true.,Filmes,81.0,Celulares,2024-12-02,0 days 06:39:51
133,Onto.,Séries,152.0,Smart TV,2024-12-06,0 days 01:24:26
368,Be organization.,Shows,95.0,Tablet,2024-12-01,0 days 05:10:50
474,Board.,Documentários,66.0,Smartfones,2024-12-07,0 days 15:58:41
979,Hit big.,Novelas,128.0,Celulares,2024-12-07,0 days 20:42:00
189,High mean.,Documentários,147.0,Smart TV,2024-12-08,0 days 10:36:27
589,Region important.,Shows,169.0,Smartfones,2024-12-03,0 days 10:42:15
646,Exist discover.,Shows,98.0,Smart TV,2024-12-01,0 days 07:45:28
195,Protect.,Documentários,48.0,Smart TV,2024-12-01,0 days 17:47:13
916,Since speech.,Shows,75.0,Tablet,2024-12-03,0 days 14:41:48
150,Kid fly.,Novelas,6.0,Smartfones,2024-12-05,0 days 14:18:20
558,Very security.,Documentários,116.0,Smart TV,2024-12-06,0 days 06:11:40
175,Market.,Novelas,90.0,Celulares,2024-12-01,0 days 15:02:51
704,The defense.,Documentários,92.0,Smartfones,2024-12-06,0 days 01:12:24
318,Together wonder.,Filmes,164.0,Smart TV,2024-12-08,0 days 18:56:29
798,Kind.,Novelas,24.0,Smartfones,2024-12-07,0 days 11:17:18
939,Above cup.,Novelas,178.0,Tablet,2024-12-03,0 days 16:59:00
945,Trip.,Novelas,40.0,Celulares,2024-12-04,0 days 01:52:13
748,Enter similar.,Documentários,64.0,Smart TV,2024-12-08,0 days 23:04:47
770,Really now.,Filmes,107.0,Smartfones,2024-12-03,0 days 02:32:10
20,Set.,Filmes,92.0,Tablet,2024-12-04,0 days 16:40:54
852,Test.,Novelas,69.0,Smartfones,2024-12-07,0 days 20:56:33
729,Each.,Séries,7.0,Smartfones,2024-12-06,0 days 11:31:56
129,Lead.,Documentários,145.0,Smartfones,2024-12-02,0 days 20:24:03
224,Toward federal.,Documentários,8.0,Smartfones,2024-12-02,0 days 02:10:22
772,Police.,Séries,154.0,Celulares,2024-12-08,0 days 08:43:33
691,Night world.,Séries,114.0,Tablet,2024-12-04,0 days 14:51:19
696,Want.,Documentários,70.0,Celulares,2024-12-06,0 days 16:21:15
72,Through.,Shows,103.0,Celulares,2024-12-06,0 days 04:57:09
89,Kid.,Filmes,135.0,Smart TV,2024-12-07,0 days 20:32:16
198,Official its.,Shows,64.0,Smartfones,2024-12-01,0 days 17:02:41
964,Floor visit.,Documentários,31.0,Smartfones,2024-12-06,0 days 11:33:53
131,Wide night.,Séries,108.0,Smart TV,2024-12-01,0 days 12:54:55
915,Particular common.,Shows,158.0,Smartfones,2024-12-08,0 days 08:24:58
65,Threat wish.,Séries,115.0,Smart TV,2024-12-07,0 days 09:04:30
106,Voice receive.,Shows,61.0,Celulares,2024-12-08,0 days 23:32:06
550,Cause look.,Novelas,49.0,Tablet,2024-12-08,0 days 16:52:54
750,Girl.,Séries,62.0,Smartfones,2024-12-06,0 days 10:58:24
837,Hundred.,Shows,150.0,Tablet,2024-12-07,0 days 16:13:43
914,Could.,Documentários,40.0,Smartfones,2024-12-07,0 days 13:38:26
972,Begin.,Novelas,103.0,Smartfones,2024-12-01,0 days 14:47:00
751,Put.,Documentários,115.0,Celulares,2024-12-01,0 days 09:57:43
890,Foot near.,Filmes,128.0,Celulares,2024-12-06,0 days 12:30:48
524,System.,Shows,64.0,Smart TV,2024-12-01,0 days 06:38:10
895,Certainly.,Shows,84.0,Smartfones,2024-12-02,0 days 03:28:21
922,Land discussion.,Shows,134.0,Celulares,2024-12-02,0 days 13:18:57
639,Hotel.,Séries,106.0,Tablet,2024-12-07,0 days 03:47:17
445,Mean.,Filmes,133.0,Celulares,2024-12-07,0 days 13:53:52
686,Yard.,Séries,142.0,Celulares,2024-12-08,0 days 15:13:30
818,Describe city.,Novelas,32.0,Smartfones,2024-12-04,0 days 11:38:09
925,Time.,Filmes,101.0,Tablet,2024-12-07,0 days 06:13:57
891,Degree make.,Shows,157.0,Tablet,2024-12-01,0 days 20:22:58
726,Remember.,Filmes,6.0,Celulares,2024-12-07,0 days 04:07:32
683,Very.,Novelas,128.0,Smartfones,2024-12-06,0 days 06:35:18
678,Body.,Filmes,105.0,Smartfones,2024-12-05,0 days 21:33:12
829,Choice.,Novelas,22.0,Smart TV,2024-12-03,0 days 06:20:22
961,Today.,Shows,112.0,Tablet,2024-12-05,0 days 11:30:55
127,Window.,Novelas,5.0,Tablet,2024-12-04,0 days 22:14:16
784,Wide.,Documentários,64.0,Celulares,2024-12-07,0 days 19:10:06
